supplier_name,supplier_email,product_name,category,keywords,unit_description,pack_size,price_per_unit,typical_market_price,min_order_units,delivery_days,quality_rating,care_suitable,certifications,notes
BrightPath Hygiene Ltd,orders@example-brightpath.test,Toothpaste - Mild Mint 75ml,Oral Care,toothpaste tooth paste dental oral mint fluoride,75ml tube,12,0.84,1.15,24,2,4.6,yes,Fluoride 1450ppm,Low-foam mild mint. Suits residents with swallowing difficulties.
Careline Direct,hello@example-careline.test,Toothpaste - Mild Mint 75ml,Oral Care,toothpaste tooth paste dental oral mint fluoride,75ml tube,12,0.79,1.15,48,4,4.4,yes,Fluoride 1450ppm,Own-brand equivalent. Case of 48.
ValueBulk Trade,sales@example-valuebulk.test,Toothpaste - Whitening 100ml,Oral Care,toothpaste tooth paste dental oral whitening,100ml tube,12,0.62,1.15,120,6,2.3,no,None listed,Abrasive whitening formula and strong flavour - poorly tolerated in dementia care.
Northgate Care Supplies,orders@example-northgate.test,Toothpaste - High Fluoride 5000ppm 51g,Oral Care,toothpaste tooth paste dental oral high fluoride prescription,51g tube,10,2.85,3.40,10,3,4.9,yes,Fluoride 5000ppm,For residents at high risk of decay. Often recommended by dental teams.
Meridian Medical Wholesale,orders@example-meridian.test,Toothbrushes - Soft Bristle (Adult),Oral Care,toothbrush brush dental oral soft,toothbrush,72,0.23,0.34,72,2,4.5,yes,None listed,Soft bristle with easy-grip handle.
BrightPath Hygiene Ltd,orders@example-brightpath.test,Denture Cleaning Tablets,Oral Care,denture dentures cleaning tablets oral,tablet,180,0.058,0.079,180,3,4.4,yes,None listed,Overnight soak tablets. Boxed 30s.
BrightPath Hygiene Ltd,orders@example-brightpath.test,Body Wash - Fragrance-Free 500ml,Personal Care,body wash shower gel soap washing fragrance-free,500ml bottle,12,1.42,1.85,24,2,4.7,yes,Dermatologically tested / pH balanced,"Fragrance-free, soap-free. For dry and fragile skin."
Careline Direct,hello@example-careline.test,Body Wash - Fragrance-Free 500ml,Personal Care,body wash shower gel soap washing fragrance-free,500ml bottle,12,1.29,1.85,48,4,4.5,yes,Dermatologically tested,Own-brand. Pump top.
ValueBulk Trade,sales@example-valuebulk.test,Body Wash - Floral 1L,Personal Care,body wash shower gel soap washing floral scented,1L bottle,6,0.94,1.85,60,5,2.5,no,None listed,Heavily perfumed with SLS - linked to skin irritation in older adults.
Sterling Nursing Supplies,orders@example-sterling.test,Barrier Cream 100ml,Personal Care,barrier cream skin protection zinc moisture,100ml tube,12,2.35,2.95,24,3,4.8,yes,Dermatologically tested,"For moisture-associated skin damage. Non-greasy, compatible with pads."
Northgate Care Supplies,orders@example-northgate.test,Barrier Cream 100ml,Personal Care,barrier cream skin protection zinc moisture,100ml tube,12,2.10,2.95,36,2,4.5,yes,Dermatologically tested,Compatible with continence products.
BrightPath Hygiene Ltd,orders@example-brightpath.test,Emollient Moisturising Cream 500ml,Personal Care,moisturiser cream emollient skin dry,500ml pump,6,3.20,4.10,12,2,4.7,yes,Dermatologically tested,Unperfumed. Pump dispenser reduces cross-contamination.
Careline Direct,hello@example-careline.test,Shampoo - Mild 500ml,Personal Care,shampoo hair washing mild,500ml bottle,12,1.18,1.55,24,4,4.3,yes,None listed,Mild unperfumed formula.
Northgate Care Supplies,orders@example-northgate.test,No-Rinse Shampoo Cap,Personal Care,shampoo cap no-rinse hair washing bed,cap,30,1.05,1.38,30,2,4.6,yes,Dermatologically tested,For bed-bound residents. Warms in microwave.
BrightPath Hygiene Ltd,orders@example-brightpath.test,Alcohol Hand Rub 500ml Pump,Infection Control,hand sanitiser rub gel alcohol infection ppe,500ml pump,12,1.85,2.40,24,1,4.8,yes,EN 1500 / EN 14476,70% alcohol with emollient. Virucidal.
Meridian Medical Wholesale,orders@example-meridian.test,Alcohol Hand Rub 500ml Pump,Infection Control,hand sanitiser rub gel alcohol infection ppe,500ml pump,12,1.96,2.40,12,1,4.9,yes,EN 1500 / EN 14476,Care-home standard. Wall bracket compatible.
ValueBulk Trade,sales@example-valuebulk.test,Hand Gel 500ml,Infection Control,hand sanitiser rub gel alcohol infection,500ml bottle,12,0.98,2.40,120,5,2.2,no,None listed,Alcohol content not stated - does not evidence EN 1500 compliance.
BrightPath Hygiene Ltd,orders@example-brightpath.test,Chlorine Disinfectant Tablets (1000ppm),Infection Control,disinfectant chlorine tablets bleach cleaning infection,tablet,200,0.041,0.056,400,2,4.7,yes,EN 14476 / EN 13697,Effervescent tablets. Correct dilution for care settings.
Orchard Facilities Supplies,sales@example-orchard.test,Chlorine Disinfectant Tablets (1000ppm),Infection Control,disinfectant chlorine tablets bleach cleaning infection,tablet,200,0.037,0.056,1000,6,4.4,yes,EN 14476,Bulk tubs.
BrightPath Hygiene Ltd,orders@example-brightpath.test,Surface Sanitiser Wipes (Large Tub),Infection Control,surface wipes sanitiser cleaning disinfectant,wipe,200,0.026,0.035,600,2,4.6,yes,EN 14476 / EN 1276,Alcohol-free. Safe on soft furnishings and equipment.
Orchard Facilities Supplies,sales@example-orchard.test,Clinical Waste Bags - Orange 90L,Waste,bags bin bag clinical waste orange sacks,bag,200,0.084,0.110,400,3,4.5,yes,UN approved,For infectious waste. Printed to standard.
Orchard Facilities Supplies,sales@example-orchard.test,Refuse Sacks - Black 90L Heavy Duty,Waste,bags bin bag refuse sacks black rubbish,bag,200,0.061,0.082,600,3,4.3,yes,None listed,Heavy duty gauge.
ValueBulk Trade,sales@example-valuebulk.test,Refuse Sacks - Black 90L Light,Waste,bags bin bag refuse sacks black rubbish,bag,200,0.034,0.082,1000,6,2.4,yes,None listed,Light gauge - splitting reported when used for wet waste.
Orchard Facilities Supplies,sales@example-orchard.test,Sharps Bin 5 Litre,Waste,sharps bin container needle disposal waste,bin,10,3.85,4.75,10,3,4.8,yes,UN 3291 / BS 7320,Yellow lid. Temporary closure feature.
Orchard Facilities Supplies,sales@example-orchard.test,Toilet Rolls - 2 Ply (Case),Housekeeping,toilet roll rolls tissue paper bathroom,roll,36,0.32,0.44,144,3,4.4,yes,FSC certified,"2 ply, 320 sheets. Recycled fibre."
BrightPath Hygiene Ltd,orders@example-brightpath.test,Hand Towels - Z Fold (Case),Housekeeping,paper towels hand towel z-fold blue,towel,3000,0.011,0.016,3000,2,4.5,yes,FSC certified,Blue 1 ply. Fits standard dispensers.
Orchard Facilities Supplies,sales@example-orchard.test,Laundry Detergent - Professional 10L,Laundry,laundry detergent washing powder liquid,10L drum,1,28.50,36.00,1,4,4.6,yes,None listed,Low-temperature formula suitable for infection-control washes.
Orchard Facilities Supplies,sales@example-orchard.test,Laundry Disinfectant Additive 5L,Laundry,laundry disinfectant additive sanitiser washing,5L drum,1,21.40,27.00,1,4,4.7,yes,EN 14476,For thermal disinfection cycles at 40C.
Sterling Nursing Supplies,orders@example-sterling.test,Thickening Powder (Level 1-3) 175g,Nutrition,thickener thickening powder dysphagia swallow nutrition,175g tin,12,4.95,6.20,12,3,4.8,yes,IDDSI compliant,For dysphagia. Levels 1-3. Speech and language therapy standard.
Meridian Medical Wholesale,orders@example-meridian.test,Thickening Powder (Level 1-3) 175g,Nutrition,thickener thickening powder dysphagia swallow nutrition,175g tin,12,5.35,6.20,12,1,4.9,yes,IDDSI compliant,Next-day delivery. Full IDDSI documentation.
Sterling Nursing Supplies,orders@example-sterling.test,Nutritional Supplement Drinks 200ml (Mixed),Nutrition,nutrition supplement drink shake calorie protein,200ml bottle,24,1.68,2.10,48,3,4.7,yes,Prescribable equivalent,300kcal per bottle. Mixed flavours.
Sterling Nursing Supplies,orders@example-sterling.test,Clothing Protectors - Washable,Dining,clothing protector bib apron dining mealtime,protector,10,4.20,5.40,20,4,4.6,yes,None listed,Washable at 60C with waterproof backing. Dignified design.
ValueBulk Trade,sales@example-valuebulk.test,Clothing Protectors - Disposable,Dining,clothing protector bib apron dining mealtime disposable,protector,100,0.13,0.19,500,5,2.8,no,None listed,Plastic disposable bib - widely seen as undignified in CQC feedback.
Sterling Nursing Supplies,orders@example-sterling.test,Non-Slip Dining Mats,Dining,mat mats non-slip dining table placemat,mat,10,2.65,3.30,10,4,4.5,yes,None listed,Wipe-clean. Supports independent eating.
Sterling Nursing Supplies,orders@example-sterling.test,Adapted Cutlery Set (Easy Grip),Dining,cutlery adapted easy grip fork spoon knife dining,set,6,7.80,9.60,6,5,4.7,yes,None listed,Weighted easy-grip handles. Dishwasher safe.
Meridian Medical Wholesale,orders@example-meridian.test,Digital Thermometer (Non-Contact),Clinical,thermometer temperature digital forehead clinical,thermometer,1,18.50,24.00,2,2,4.6,yes,CE marked / MHRA registered,Forehead non-contact. Two-year calibration.
Meridian Medical Wholesale,orders@example-meridian.test,Blood Pressure Monitor (Upper Arm),Clinical,blood pressure monitor bp sphygmomanometer clinical,monitor,1,42.00,55.00,1,2,4.7,yes,CE marked / clinically validated,Upper arm cuff. Validated for clinical use.
Sterling Nursing Supplies,orders@example-sterling.test,Slide Sheets (Pair),Moving and Handling,slide sheet sheets moving handling transfer,pair,10,11.40,14.20,10,4,4.8,yes,LOLER compatible,Reduces manual handling injury risk. Launderable at 71C.
Sterling Nursing Supplies,orders@example-sterling.test,Pressure Relief Cushion,Moving and Handling,cushion pressure relief seating ulcer prevention,cushion,4,24.50,31.00,4,5,4.7,yes,None listed,For medium-risk residents. Waterproof multi-stretch cover.
Meridian Medical Wholesale,orders@example-meridian.test,First Aid Kit Refill (Workplace),Clinical,first aid kit refill plasters bandage dressing,kit,1,14.20,18.50,2,2,4.5,yes,BS 8599-1,Refill for standard workplace kit.
Meridian Medical Wholesale,orders@example-meridian.test,Mouth Care Swabs (Foam),Oral Care,mouth swabs swab oral care foam sponge,swab,100,0.072,0.095,300,2,4.6,yes,CE marked,For residents at end of life or nil by mouth.
Northgate Care Supplies,orders@example-northgate.test,Wound Dressing Pack (Sterile),Clinical,dressing wound pack sterile clinical,pack,50,0.68,0.88,100,2,4.7,yes,CE marked / sterile,Standard sterile dressing pack with tray and gauze.
Northgate Care Supplies,orders@example-northgate.test,Disposable Bed Pan Liners,Continence,bed pan liners disposable commode,liner,100,0.19,0.26,200,2,4.4,yes,None listed,Fits standard bed pans and commode buckets.
